sales,date,region
" $1,638.00 ",2/6/2018,north
" $1,647.00 ",2/6/2018,south
" $1,731.00 ",2/6/2018,east
" $1,557.00 ",2/6/2018,west
" $1,587.00 ",2/7/2018,north
" $1,698.00 ",2/7/2018,south
" $1,542.00 ",2/7/2018,east
" $1,635.00 ",2/7/2018,west
" $1,602.00 ",2/8/2018,north
" $1,536.00 ",2/8/2018,south
" $1,503.00 ",2/8/2018,east
" $1,701.00 ",2/8/2018,west
" $1,758.00 ",2/9/2018,north
" $1,662.00 ",2/9/2018,south
" $1,782.00 ",2/9/2018,east
" $1,515.00 ",2/9/2018,west
" $1,662.00 ",2/10/2018,north
" $1,557.00 ",2/10/2018,south
" $1,650.00 ",2/10/2018,east
" $1,674.00 ",2/10/2018,west
" $1,554.00 ",2/11/2018,north
" $1,587.00 ",2/11/2018,south
" $1,563.00 ",2/11/2018,east
" $1,764.00 ",2/11/2018,west
" $1,758.00 ",2/12/2018,north
" $1,608.00 ",2/12/2018,south
" $1,569.00 ",2/12/2018,east
" $1,653.00 ",2/12/2018,west
" $1,572.00 ",2/13/2018,north
" $1,716.00 ",2/13/2018,south
" $1,773.00 ",2/13/2018,east
" $1,725.00 ",2/13/2018,west
" $1,767.00 ",2/14/2018,north
" $1,710.00 ",2/14/2018,south
" $1,698.00 ",2/14/2018,east
" $1,512.00 ",2/14/2018,west
" $1,746.00 ",2/15/2018,north
" $1,734.00 ",2/15/2018,south
" $1,524.00 ",2/15/2018,east
" $1,614.00 ",2/15/2018,west
" $1,578.00 ",2/16/2018,north
" $1,782.00 ",2/16/2018,south
" $1,527.00 ",2/16/2018,east
" $1,752.00 ",2/16/2018,west
" $1,785.00 ",2/17/2018,north
" $1,689.00 ",2/17/2018,south
" $1,641.00 ",2/17/2018,east
" $1,575.00 ",2/17/2018,west
" $1,644.00 ",2/18/2018,north
" $1,674.00 ",2/18/2018,south
" $1,551.00 ",2/18/2018,east
" $1,737.00 ",2/18/2018,west
" $1,563.00 ",2/19/2018,north
" $1,647.00 ",2/19/2018,south
" $1,605.00 ",2/19/2018,east
" $1,539.00 ",2/19/2018,west
" $1,698.00 ",2/20/2018,north
" $1,575.00 ",2/20/2018,south
" $1,500.00 ",2/20/2018,east
" $1,551.00 ",2/20/2018,west
" $1,737.00 ",2/21/2018,north
" $1,542.00 ",2/21/2018,south
" $1,665.00 ",2/21/2018,east
" $1,548.00 ",2/21/2018,west
" $1,635.00 ",2/22/2018,north
" $1,632.00 ",2/22/2018,south
" $1,668.00 ",2/22/2018,east
" $1,764.00 ",2/22/2018,west
" $1,533.00 ",2/23/2018,north
" $1,563.00 ",2/23/2018,south
" $1,641.00 ",2/23/2018,east
" $1,773.00 ",2/23/2018,west
" $1,629.00 ",2/24/2018,north
" $1,698.00 ",2/24/2018,south
" $1,725.00 ",2/24/2018,east
" $1,722.00 ",2/24/2018,west
" $1,596.00 ",2/25/2018,north
" $1,710.00 ",2/25/2018,south
" $1,635.00 ",2/25/2018,east
" $1,659.00 ",2/25/2018,west
" $1,686.00 ",2/26/2018,north
" $1,533.00 ",2/26/2018,south
" $1,524.00 ",2/26/2018,east
" $1,530.00 ",2/26/2018,west
" $1,665.00 ",2/27/2018,north
" $1,695.00 ",2/27/2018,south
" $1,578.00 ",2/27/2018,east
" $1,620.00 ",2/27/2018,west
" $1,767.00 ",2/28/2018,north
" $1,593.00 ",2/28/2018,south
" $1,743.00 ",2/28/2018,east
" $1,557.00 ",2/28/2018,west
" $1,668.00 ",3/1/2018,north
" $1,782.00 ",3/1/2018,south
" $1,527.00 ",3/1/2018,east
" $1,668.00 ",3/1/2018,west
" $1,635.00 ",3/2/2018,north
" $1,569.00 ",3/2/2018,south
" $1,746.00 ",3/2/2018,east
" $1,773.00 ",3/2/2018,west
" $1,539.00 ",3/3/2018,north
" $1,500.00 ",3/3/2018,south
" $1,569.00 ",3/3/2018,east
" $1,557.00 ",3/3/2018,west
" $1,773.00 ",3/4/2018,north
" $1,644.00 ",3/4/2018,south
" $1,614.00 ",3/4/2018,east
" $1,674.00 ",3/4/2018,west
" $1,533.00 ",3/5/2018,north
" $1,653.00 ",3/5/2018,south
" $1,557.00 ",3/5/2018,east
" $1,746.00 ",3/5/2018,west
" $1,719.00 ",3/6/2018,north
" $1,719.00 ",3/6/2018,south
" $1,659.00 ",3/6/2018,east
" $1,800.00 ",3/6/2018,west
" $1,581.00 ",3/7/2018,north
" $1,602.00 ",3/7/2018,south
" $1,608.00 ",3/7/2018,east
" $1,650.00 ",3/7/2018,west
" $1,611.00 ",3/8/2018,north
" $1,530.00 ",3/8/2018,south
" $1,698.00 ",3/8/2018,east
" $1,668.00 ",3/8/2018,west
" $1,746.00 ",3/9/2018,north
" $1,524.00 ",3/9/2018,south
" $1,506.00 ",3/9/2018,east
" $1,704.00 ",3/9/2018,west
" $1,788.00 ",3/10/2018,north
" $1,719.00 ",3/10/2018,south
" $1,746.00 ",3/10/2018,east
" $1,584.00 ",3/10/2018,west
" $1,692.00 ",3/11/2018,north
" $1,635.00 ",3/11/2018,south
" $1,608.00 ",3/11/2018,east
" $1,590.00 ",3/11/2018,west
" $1,599.00 ",3/12/2018,north
" $1,518.00 ",3/12/2018,south
" $1,602.00 ",3/12/2018,east
" $1,659.00 ",3/12/2018,west
" $1,644.00 ",3/13/2018,north
" $1,611.00 ",3/13/2018,south
" $1,554.00 ",3/13/2018,east
" $1,515.00 ",3/13/2018,west
" $1,515.00 ",3/14/2018,north
" $1,632.00 ",3/14/2018,south
" $1,512.00 ",3/14/2018,east
" $1,776.00 ",3/14/2018,west
" $1,677.00 ",3/15/2018,north
" $1,503.00 ",3/15/2018,south
" $1,605.00 ",3/15/2018,east
" $1,647.00 ",3/15/2018,west
" $1,506.00 ",3/16/2018,north
" $1,737.00 ",3/16/2018,south
" $1,590.00 ",3/16/2018,east
" $1,767.00 ",3/16/2018,west
" $1,593.00 ",3/17/2018,north
" $1,614.00 ",3/17/2018,south
" $1,710.00 ",3/17/2018,east
" $1,662.00 ",3/17/2018,west
" $1,650.00 ",3/18/2018,north
" $1,755.00 ",3/18/2018,south
" $1,698.00 ",3/18/2018,east
" $1,659.00 ",3/18/2018,west
" $1,683.00 ",3/19/2018,north
" $1,509.00 ",3/19/2018,south
" $1,500.00 ",3/19/2018,east
" $1,545.00 ",3/19/2018,west
" $1,647.00 ",3/20/2018,north
" $1,614.00 ",3/20/2018,south
" $1,629.00 ",3/20/2018,east
" $1,677.00 ",3/20/2018,west
" $1,743.00 ",3/21/2018,north
" $1,569.00 ",3/21/2018,south
" $1,593.00 ",3/21/2018,east
" $1,578.00 ",3/21/2018,west
" $1,578.00 ",3/22/2018,north
" $1,581.00 ",3/22/2018,south
" $1,653.00 ",3/22/2018,east
" $1,578.00 ",3/22/2018,west
" $1,761.00 ",3/23/2018,north
" $1,611.00 ",3/23/2018,south
" $1,749.00 ",3/23/2018,east
" $1,764.00 ",3/23/2018,west
" $1,716.00 ",3/24/2018,north
" $1,710.00 ",3/24/2018,south
" $1,800.00 ",3/24/2018,east
" $1,728.00 ",3/24/2018,west
" $1,743.00 ",3/25/2018,north
" $1,764.00 ",3/25/2018,south
" $1,740.00 ",3/25/2018,east
" $1,707.00 ",3/25/2018,west
" $1,509.00 ",3/26/2018,north
" $1,641.00 ",3/26/2018,south
" $1,533.00 ",3/26/2018,east
" $1,752.00 ",3/26/2018,west
" $1,767.00 ",3/27/2018,north
" $1,590.00 ",3/27/2018,south
" $1,533.00 ",3/27/2018,east
" $1,704.00 ",3/27/2018,west
" $1,671.00 ",3/28/2018,north
" $1,527.00 ",3/28/2018,south
" $1,524.00 ",3/28/2018,east
" $1,629.00 ",3/28/2018,west
" $1,722.00 ",3/29/2018,north
" $1,557.00 ",3/29/2018,south
" $1,686.00 ",3/29/2018,east
" $1,779.00 ",3/29/2018,west
" $1,734.00 ",3/30/2018,north
" $1,776.00 ",3/30/2018,south
" $1,554.00 ",3/30/2018,east
" $1,725.00 ",3/30/2018,west
" $1,617.00 ",3/31/2018,north
" $1,635.00 ",3/31/2018,south
" $1,605.00 ",3/31/2018,east
" $1,785.00 ",3/31/2018,west
" $1,761.00 ",4/1/2018,north
" $1,530.00 ",4/1/2018,south
" $1,710.00 ",4/1/2018,east
" $1,506.00 ",4/1/2018,west
" $1,509.00 ",4/2/2018,north
" $1,797.00 ",4/2/2018,south
" $1,662.00 ",4/2/2018,east
" $1,530.00 ",4/2/2018,west
" $1,767.00 ",4/3/2018,north
" $1,767.00 ",4/3/2018,south
" $1,614.00 ",4/3/2018,east
" $1,533.00 ",4/3/2018,west
" $1,767.00 ",4/4/2018,north
" $1,761.00 ",4/4/2018,south
" $1,566.00 ",4/4/2018,east
" $1,623.00 ",4/4/2018,west
" $1,506.00 ",4/5/2018,north
" $1,512.00 ",4/5/2018,south
" $1,692.00 ",4/5/2018,east
" $1,749.00 ",4/5/2018,west
" $1,701.00 ",4/6/2018,north
" $1,752.00 ",4/6/2018,south
" $1,632.00 ",4/6/2018,east
" $1,515.00 ",4/6/2018,west
" $1,725.00 ",4/7/2018,north
" $1,611.00 ",4/7/2018,south
" $1,788.00 ",4/7/2018,east
" $1,617.00 ",4/7/2018,west
" $1,656.00 ",4/8/2018,north
" $1,674.00 ",4/8/2018,south
" $1,557.00 ",4/8/2018,east
" $1,701.00 ",4/8/2018,west
" $1,686.00 ",4/9/2018,north
" $1,782.00 ",4/9/2018,south
" $1,641.00 ",4/9/2018,east
" $1,557.00 ",4/9/2018,west
" $1,686.00 ",4/10/2018,north
" $1,527.00 ",4/10/2018,south
" $1,698.00 ",4/10/2018,east
" $1,728.00 ",4/10/2018,west
" $1,671.00 ",4/11/2018,north
" $1,527.00 ",4/11/2018,south
" $1,581.00 ",4/11/2018,east
" $1,764.00 ",4/11/2018,west
" $1,653.00 ",4/12/2018,north
" $1,626.00 ",4/12/2018,south
" $1,782.00 ",4/12/2018,east
